TeamNumber,GameNumber,GStatNumber,GameDate,GameType,Location,Innings,HomeTeam,Opponent,OpponentTeamNumber,OpponentGStatNumber,DP,Runs,RunsInning1,RunsInning2,RunsInning3,RunsInning4,RunsInning5,RunsInning6,RunsInning7,RunsInning8,RunsInning9,RunsInningX,OppRuns,OppRunsInning1,OppRunsInning2,OppRunsInning3,OppRunsInning4,OppRunsInning5,OppRunsInning6,OppRunsInning7,OppRunsInning8,OppRunsInning9,OppRunsInningX,Notes
41,20,220,"03/30/11 00:00:00",1,"Buffalo Glen",6,0,"Vipers W11",43,0,0,19,1,2,5,5,3,3,0,0,0,0,4,1,0,0,3,0,0,0,0,0,0,
42,1,6,"01/05/11 00:00:00",1,"Buffalo Glen",7,1,"Bruins W11",39,0,0,16,5,0,1,4,4,1,1,0,0,0,15,1,0,4,0,5,2,3,0,0,0,
42,2,57,"01/07/11 00:00:00",1,"Buffalo Glen",7,1,"Wings W11",44,0,0,19,1,4,1,0,1,2,10,0,0,0,20,3,4,4,0,2,5,2,0,0,0,
42,3,75,"01/19/11 00:00:00",1,"Buffalo Glen",7,1,"Avalanche W11",37,0,0,10,0,0,0,0,5,5,0,0,0,0,9,0,0,5,2,2,0,0,0,0,0,
42,4,80,"01/28/11 00:00:00",1,"Buffalo Glen",7,0,"Flames W11",41,0,0,8,2,0,0,4,2,0,0,0,0,0,18,5,2,2,5,1,3,0,0,0,0,
42,5,91,"02/02/11 00:00:00",1,"Buffalo Glen",6,1,"Hurricanes W11",38,0,0,6,0,0,4,1,1,0,0,0,0,0,21,5,5,4,3,0,4,0,0,0,0,
42,6,102,"02/04/11 00:00:00",1,"Buffalo Glen",7,0,"Bruins W11",39,0,0,18,5,5,0,5,3,0,0,0,0,0,7,0,5,0,1,0,1,0,0,0,0,
42,7,110,"02/09/11 00:00:00",1,"Buffalo Glen",7,0,"Wings W11",44,0,0,13,3,3,0,1,5,1,0,0,0,0,9,3,2,0,2,2,0,0,0,0,0,
42,8,123,"02/16/11 00:00:00",1,"Buffalo Glen",7,1,"Canucks W11",40,0,0,12,2,3,5,0,1,0,1,0,0,0,11,5,0,0,0,5,0,1,0,0,0,
42,9,134,"02/18/11 00:00:00",1,"Buffalo Glen",7,0,"Avalanche W11",37,0,0,12,1,0,3,1,3,1,3,0,0,0,15,5,0,5,5,0,0,0,0,0,0,
